,lat,long,max_temp,humidity,wind_speed,clouds,country,dt,is_south
nouadhibou,20.931,-17.0347,71.17,76,4.91504461,99,Mauritania,1635184988,0
porto novo,6.4965,2.6036,79.63,84,1.48507669,86,Benin,1635184988,0
shaping,22.7545,112.9565,68.95,69,1.23031458,4,China,1635184989,0
masvingo,-20.0637,30.8277,62.44,87,2.64082675,58,Zimbabwe,1635184989,1
saskylakh,71.9167,114.0833,-10.23,99,0.63379842,99,Russian Federation,1635184989,0
narsaq,60.9167,-46.05,30.42,44,0.44117341,17,Greenland,1635184990,0
new norfolk,-42.7826,147.0587,49.5,97,0.37903631,40,Australia,1635184990,1
aripuana,-9.1667,-60.6333,88.83,54,0.77671375,98,Brazil,1635184990,1
richards bay,-28.783,32.0377,64.45,87,1.3110928099999999,100,South Africa,1635184991,1
shunyi,40.125,116.6453,50.85,100,0.621371,99,China,1635184991,0
superior,46.7208,-92.1041,49.48,85,3.83385907,90,United States of America,1635184920,0
storsteinnes,69.2408,19.2344,31.78,91,1.4912904,99,Norway,1635184991,0
severo-yeniseyskiy,60.3725,93.0408,32.95,97,3.55424212,100,Russian Federation,1635184992,0
atikokan,48.7555,-91.6216,43.2,52,1.4602218500000002,13,Canada,1635184992,0
cayenne,4.9333,-52.3333,80.64,91,0.55302019,90,French Guiana,1635184804,0
san luis,-33.295,-66.3356,92.28,10,2.13751624,0,Argentina,1635184807,1
yarada,17.65,83.2667,79.12,83,0.64001213,40,India,1635184992,0
chipiona,36.7366,-6.437,72.3,73,1.92003639,0,Spain,1635184992,0
dongsheng,39.8161,109.9776,41.47,40,2.4668428700000002,98,China,1635184993,0
stokmarknes,68.5646,14.9108,42.49,93,2.2369356000000002,90,Norway,1635184993,0
puerto carreno,6.189,-67.4859,92.48,49,2.0878065599999998,52,Colombia,1635184993,0
havre-saint-pierre,50.2334,-63.5986,47.19,53,2.2431493099999997,36,Canada,1635184994,0
makaryev,57.8797,43.8069,31.87,73,3.03229048,100,Russian Federation,1635184994,0
kudahuvadhoo,2.6708,72.8944,83.05,74,4.11347602,86,Maldives,1635184994,0
mikhaylovka,50.06,43.2379,32.22,63,1.8081896100000001,32,Russian Federation,1635184995,0
myaundzha,63.0494,147.1858,-7.15,99,0.6648669700000001,61,Russian Federation,1635184995,0
miri,4.4148,114.0089,79.34,84,0.8512782700000001,97,Malaysia,1635184995,0
cidreira,-30.1811,-50.2056,75.38,48,1.26759684,0,Brazil,1635184995,1
haines junction,60.7522,-137.5108,26.67,88,0.22369355999999999,100,Canada,1635184996,0
te anau,-45.4167,167.7167,51.03,98,0.1864113,82,New Zealand,1635184996,1
tura,25.5198,90.2201,66.87,94,0.75807262,0,India,1635184797,0
takoradi,4.8845,-1.7554,79.3,86,3.0136493499999997,49,Ghana,1635184996,0
kahului,20.8947,-156.47,78.84,77,3.19384694,20,United States of America,1635184997,0
harwich,51.9419,1.2844,55.56,84,1.11225409,39,United Kingdom of Great Britain and Northern Ireland,1635184700,0
manokwari,-0.8667,134.0833,78.53,74,0.7456452,97,Indonesia,1635184997,1
sorland,67.667,12.6934,48.06,95,3.3056937200000003,100,Norway,1635184997,0
rocha,-34.4833,-54.3333,78.01,46,4.19425425,0,Uruguay,1635184998,1
bayir,37.2687,28.2167,59.52,58,0.81399601,91,Turkey,1635184998,0
pipar,26.3856,73.5378,74.19,44,2.07537914,21,India,1635184998,0
sandpoint,48.2766,-116.5533,49.44,90,0.0,75,United States of America,1635184756,0
biak,-0.9131,122.8766,76.86,87,0.36039518,78,Indonesia,1635184744,1
bethel,41.3712,-73.414,72.91,81,0.55302019,20,United States of America,1635184999,0
saurimo,-9.6608,20.3916,66.88,90,0.7518589099999999,83,Angola,1635184999,1
dingle,10.9995,122.6711,75.31,91,1.16817748,100,Philippines,1635184999,0
north myrtle beach,33.816,-78.68,77.25,82,0.27961695000000003,90,United States of America,1635184999,0
